subword,length
10,对胎儿或新生儿的影响
9,肠沙门氏菌肠道亚种
7,转移性恶性肿瘤
7,继发性恶性肿瘤
7,对胎儿或新生儿
7,原发性恶性肿瘤
6,胎儿或新生儿
6,对胎儿新生儿
5,鳞状细胞癌
5,面皮下组织
5,闭合性骨折
5,部分切除术
5,胎儿新生儿
5,肠沙门氏菌
5,病损切除术
5,生物学行为
5,活组织检查
5,沙门氏杆菌
5,损伤或伤害
5,性恶性肿瘤
5,引起的感染
5,开放性骨折
5,开放性伤口
5,导致的感染
5,其他特指的
5,不确定行为
4,鳞状细胞
4,静脉结构
4,间隔缺损
4,闭合骨折
4,血栓形成
4,葡萄球菌
4,营养不良
4,芽孢杆菌
4,良性肿瘤
4,腹腔镜下
4,肺动脉瓣
4,肠道亚种
4,经腹腔镜
4,神经系统
4,皮下组织
4,病毒感染
4,甲状旁腺
4,沙门氏菌
4,沙门杆菌
4,沙氏杆菌
4,未特指的
4,整个第三
4,指间关节
4,或新生儿
4,恶性肿瘤
4,发育异常
4,发育不良
4,发育不全
4,十二指肠
4,动脉结构
4,功能障碍
4,功能减退
4,分枝杆菌
4,冠状动脉
4,内固定术
4,免疫缺陷
4,假单胞菌
4,主动脉瓣
4,主动脉弓
3,高血压
3,髋关节
3,骨髓炎
3,风湿性
3,颈动脉
3,面皮肤
3,静脉炎
3,间关节
3,闭合性
3,链霉菌
3,链球菌
3,酶缺乏
3,部皮肤
3,遗传性
3,连接处
3,输尿管
3,输卵管
3,软组织
3,踝关节
3,视网膜
3,血清种
3,螺旋体
3,虫感染
3,获得性
3,节指骨
3,膝关节
3,腹腔镜
3,腹股沟
3,腔静脉
3,脑膜炎
3,肾上腺
3,肺静脉
3,肺动脉
3,肠系膜
3,肌肌腱
3,肉芽肿
3,置换术
3,置入术
3,缝合术
3,综合症
3,综合征
3,继发性
3,结膜炎
3,结合部
3,细菌性
3,细胞瘤
3,红细胞
3,糖尿病
3,移植物
3,移植术
3,神经节
3,神经根
3,相关的
3,相关性
3,的影响
3,的其他
3,病毒性
3,甲状腺
3,生物学
3,生殖器
3,状细胞
3,特指的
3,特发性
3,淋巴结
3,淋巴管
3,活组织
3,沙门菌
3,氏杆菌
3,椎间盘
3,椎间孔
3,染色体
3,松解术
3,未特指
3,有关的
3,新生儿
3,整个第
3,整个左
3,支气管
3,撕裂伤
3,损伤或
3,扁桃体
3,房室瓣
3,成形术
3,感染性
3,恶性瘤
3,性肿瘤
3,性疾病
3,性感染
3,心肌病
3,心肌梗
3,引起的
3,引流术
3,引发的
3,开放性
3,并发症
3,左心室
3,屈肌腱
3,导致的
3,家族性
3,完全性
3,子宫颈
3,多发性
3,外伤性
3,复发性
3,复位术
3,增多症
3,固定术
3,呼吸道
3,吻合术
3,右心室
3,取出术
3,去除术
3,原发性
3,原位癌
3,单胞菌
3,半脱位
3,动静脉
3,动脉瘤
3,前列腺
3,创伤性
3,切除术
3,切除伴
3,切开术
3,内镜下
3,内动脉
3,内分泌
3,关节面
3,关节突
3,关节病
3,关节炎
3,关节囊
3,先天性
3,修补术
3,伴感染
3,二尖瓣
3,乳头状
3,主动脉
3,不确定
3,下动脉
3,三尖瓣
2,鼻窦
2,鼻咽
2,黄色
2,黄疸
2,麻痹
2,高血
2,骨髓
2,骨骼
2,骨骺
2,骨盆
2,骨折
2,食管
2,风湿
2,颈部
2,颈椎
2,颅骨
2,颅内
2,韧带
2,面部
2,静脉
2,霉菌
2,障碍
2,除术
2,阻塞
2,阴道
2,阴茎
2,阴囊
2,间隙
2,间隔
2,间质
2,闭锁
2,闭塞
2,闭合
2,镜下
2,锁骨
2,重度
2,酒精
2,部分
2,部位
2,遗传
2,造影
2,造口
2,通过
2,连接
2,远端
2,近端
2,运输
2,运动
2,软骨
2,转移
2,躯干
2,跖骨
2,趾骨
2,足部
2,起源
2,贫血
2,象限
2,角膜
2,装置
2,衰竭
2,表面
2,表皮
2,行性
2,行为
2,血管
2,血症
2,血病
2,血清
2,血栓
2,血性
2,螺旋
2,蛋白
2,虫病
2,虫属
2,葡萄
2,营养
2,萎缩
2,菌病
2,菌性
2,菌属
2,获得
2,药物
2,芽孢
2,色素
2,良性
2,膜炎
2,膜下
2,膀胱
2,腺癌
2,腺瘤
2,腹部
2,腹膜
2,腹腔
2,腹壁
2,腱鞘
2,腰椎
2,腓骨
2,脱位
2,脓肿
2,脓毒
2,脑膜
2,脑炎
2,脑室
2,脊髓
2,脊椎
2,脊柱
2,脉络
2,脂肪
2,胸骨
2,胸部
2,胸膜
2,胸腔
2,胸椎
2,胰腺
2,胫骨
2,胎盘
2,胎儿
2,背侧
2,胆管
2,胆囊
2,肿瘤
2,肾上
2,肺炎
2,肱骨
2,肩胛
2,股骨
2,股沟
2,肠道
2,肝脏
2,肝炎
2,肛门
2,肌腱
2,肌肉
2,肋骨
2,肉芽
2,肉瘤
2,联合
2,置换
2,置入
2,网膜
2,缺陷
2,缺损
2,缺失
2,缺乏
2,综合
2,继发
2,结节
2,结膜
2,结肠
2,结石
2,结核
2,结构
2,结合
2,经皮
2,细菌
2,细胞
2,组织
2,纵隔
2,纤维
2,累及
2,紊乱
2,系膜
2,系统
2,糖尿
2,精神
2,粘膜
2,粘液
2,类型
2,筋膜
2,第四
2,第十
2,第六
2,第五
2,第二
2,第三
2,第一
2,穿刺
2,移植
2,神经
2,磷酸
2,磨牙
2,确定
2,硬化
2,破裂
2,睾丸
2,眼睑
2,相关
2,直肠
2,盆腔
2,皮质
2,皮肤
2,皮下
2,癣菌
2,痛风
2,症状
2,病毒
2,病损
2,病性
2,病变
2,疾病
2,疾患
2,疼痛
2,疱疹
2,畸形
2,男性
2,甲状
2,甲基
2,生长
2,生素
2,生物
2,生殖
2,生儿
2,瓣膜
2,球菌
2,狭窄
2,状态
2,特指
2,物质
2,牙槽
2,烧伤
2,激素
2,源性
2,溃疡
2,混合
2,淋巴
2,淀粉
2,消化
2,测量
2,浅表
2,流感
2,流产
2,活动
2,注射
2,泌尿
2,治疗
2,沙门
2,水肿
2,水疱
2,水平
2,氨酸
2,气管
2,氏菌
2,毛细
2,正常
2,横突
2,椎间
2,椎体
2,植入
2,检查
2,梗阻
2,梅毒
2,桡骨
2,栓塞
2,染色
2,松解
2,杆菌
2,术后
2,未定
2,有关
2,暂时
2,旁腺
2,整体
2,整个
2,放线
2,放射
2,支架
2,擦伤
2,操作
2,撕裂
2,接合
2,探查
2,掌骨
2,损害
2,损伤
2,指骨
2,持续
2,拇指
2,抑郁
2,扭伤
2,扩张
