subword,length
18,车作为运输相关事件中受害者的运输方式
18,表面异物不伴有大开放性伤口但伴有感染
18,兴奋剂包括苯丙胺甲基苯丙胺或甲卡西酮
17,作为运输相关事件中受害者的运输方式
16,车作为陆地运输碰撞中受害者的对方
16,表浅异物不伴大开放性伤口但有感染
15,在治疗中使用与损伤或伤害有关的
15,作为陆地运输碰撞中受害者的对方
15,不伴开放性伤口的碎片伤并发感染
15,不伴开放性伤口的碎片伤合并感染
15,不伴开放性伤口的碎片伤伴发感染
14,结缔组织皮下组织和其他软组织
14,与损伤或伤害有关的心血管装置
14,不伴开放性伤口的碎片伤已感染
14,不伴开放性伤口的碎片伤伴感染
13,陆地运输碰撞中受害者的对方
13,表浅异物不伴大开放性伤口但
13,人获得性免疫缺陷综合征相关
12,部分切除伴自体血管置换术
12,部分切除伴人工血管置换术
12,获得性免疫缺陷综合征相关
12,药物对胎儿或新生儿的影响
12,耐甲氧西林金黄色葡萄球菌
12,未知或未特定精神活性物质
12,对胎儿或新生儿造成的影响
12,合并人类免疫缺陷病毒感染
12,伴发人类免疫缺陷病毒感染
11,并发于妊娠分娩或产褥期
11,大开放性伤口但伴有感染
11,多种特定的精神活性物质
11,区生物学行为未定性肿瘤
10,骨折切开复位内固定术
10,韧带的脱位劳损或扭伤
10,镇静催眠或抗焦虑药物
10,通入腹腔的开放性伤口
10,运动或锻炼活动的类型
10,转移性恶性肿瘤转移至
10,获得性免疫缺陷综合征
10,肌肉筋膜或肌腱的损伤
10,结构发育异常未特指的
10,的症状体征或临床所见
10,生物学行为未定性肿瘤
10,生物学行为不定的肿瘤
10,朗格汉斯细胞组织细胞
10,整个左冠状动脉回旋支
10,恐怖性障碍伴广场恐怖
10,异常起源于右冠状动脉
10,建筑物或场地的一部分
10,左房室瓣非二尖瓣形态
10,对胎儿或新生儿的影响
10,右房室瓣非三尖瓣形态
10,功能障碍的感染性休克
10,列神经刺激脉冲发生器
10,作为损伤或伤害的方式
10,传染性单核细胞增多症
10,人类免疫缺陷病毒感染
9,颈总动脉间主动脉弓
9,闭合性创伤性半脱位
9,部分切除伴自体血管
9,输血综合征所致胎儿
9,药物药剂或生物制品
9,药物洗脱支架置入术
9,自体血管旁路移植术
9,肠沙门氏菌肠道亚种
9,组织皮肤和皮下组织
9,神经刺激脉冲发生器
9,皮肤和皮下组织结构
9,病损切除术经腹腔镜
9,甲状旁腺功能减退症
9,生物学行为不明肿瘤
9,特定的精神活性物质
9,未知是道路交通事故
9,无毒昆虫咬伤伴感染
9,新生儿高胆红素血症
9,放射性粒子植入术碘
9,扩张性心肌病继发于
9,影响的胎儿或新生儿
9,影响母体治疗的胎儿
9,影响孕妇治疗的胎儿
9,异常起源于主动脉窦
9,开放性创伤性半脱位
9,开放性伤口的碎片伤
9,常染色体隐性遗传性
9,常染色体显性遗传性
9,局部切除术或破坏术
9,对胎儿新生儿的影响
9,外伤性水疱并发感染
9,外伤性水疱合并感染
9,外伤性水疱伴发感染
9,型曼彻斯特生化亚型
9,双极Ⅰ障碍最近发作
9,动脉韧带异常起源于
9,功能重建伴肌移位术
9,分枝杆菌引起的感染
9,分枝杆菌引发的感染
9,分枝杆菌导致的感染
9,其他或未特指部位的
9,人工血管旁路移植术
9,为主要特征的综合征
9,中受害者的运输方式
9,与损伤或伤害有关的
8,鳞状细胞恶性肿瘤
8,骨折闭合性复位术
8,骨折开放性复位术
8,青霉菌引起的感染
8,青霉菌引发的感染
8,青霉菌导致的感染
8,闭合性脊柱骨折伴
8,闭合性创伤性脱位
8,镇静催眠或抗焦虑
8,部分切除伴吻合术
8,道路外非交通事故
8,运输损伤事件伤及
8,运动或锻炼活动的
8,输血综合征致胎儿
8,血小板减少性紫癜
8,腹腔开放性创伤的
8,腹腔开放性伤口的
8,胸椎椎间盘纤维环
8,背侧表面皮下组织
8,肾功能损害引起的
8,肋结节非关节部分
8,而与保健机构接触
8,继发扩张型心肌病
8,给予的孕产妇医疗
8,绒毛结节性滑膜炎
8,磨损和或摩擦烧伤
8,相关性肺动脉高压
8,的肌肉筋膜或肌腱
8,的原发性恶性肿瘤
8,的其他诊断性操作
8,的免疫接种的需要
8,病损切除术经鼻镜
8,甲状腺功能减退症
8,甲状旁腺机能减退
8,甲状旁腺功能减退
8,甲状旁腺功能亢进
8,犯罪者受害人关系
8,水路运输损伤事件
8,气管支气管淋巴结
8,曲霉菌引起的感染
8,曲霉菌引发的感染
8,曲霉菌导致的感染
8,早产儿视网膜病变
8,放射性粒子植入术
8,撕裂并发伤口污染
8,撕裂合并伤口污染
8,撕裂伴有伤口污染
8,撕裂伴发伤口污染
8,损伤或伤害的方式
8,恶性肿瘤未特指的
8,引起的梗阻性分娩
8,异常起源于肺动脉
8,开放性骨折半脱位
8,开放性创伤性脱位
8,广场恐怖性回避和
8,常染色体隐性遗传
8,常染色体显性遗传
8,左冠状动脉回旋支
8,左冠状动脉前降支
8,小肠结肠炎耶尔森
8,妊娠分娩或产褥期
8,妊娠分娩和产褥期
8,女性生殖道分泌液
8,女性乳房外上象限
8,大的开放性伤口但
8,大疱性表皮松解症
8,外固定装置去除术
8,外伤性水疱已感染
8,外伤性水疱伴感染
8,含激光冷冻电灼等
8,原发性鳞状细胞癌
8,单纯疱疹病毒感染
8,区不确定行为肿瘤
8,功能性单心室相关
8,分枝杆菌所致感染
8,分支杆菌所致感染
8,冠状动脉粥样硬化
8,内固定装置去除术
8,其他特指的获得性
8,其他特指的新生儿
8,其他特指的先天性
8,兴奋剂包括苯丙胺
8,位于腕或手水平的
8,代谢紊乱未特指的
8,人类免疫缺陷病毒
8,乳头状鳞状细胞癌
8,主动脉瓣关闭不全
8,中性粒细胞减少症
8,不可归类在他处者
8,不伴开放性创口的
7,高血压性心脏病
7,髓内针内固定术
7,髋或大腿水平的
7,骨骨折切开复位
7,骨折手法整复术
7,韧带开放式分裂
7,非霍奇金淋巴瘤
7,障碍伴广场恐怖
7,闭合创伤性脱位
7,金黄色葡萄球菌
7,重度持续性哮喘
7,重叠性恶性肿瘤
7,通过胎盘或乳汁
7,轻度肝脏撕裂伤
7,转移性恶性肿瘤
7,踝关节和或足部
7,路运输损伤事件
7,视网膜中央静脉
7,表面异物不伴有
7,表浅损伤伴感染
7,血管腔内成形术
7,血栓性浅静脉炎
7,蛛网膜下腔出血
7,获得性免疫缺陷
7,自体血管搭桥术
7,腹部下背或骨盆
7,腹腔镜下输卵管
7,腹腔开放性创伤
7,腹腔开放性伤的
7,腹腔开放性伤口
